,churned1,CLIENTNUM,Months_on_book,Gender,Card_Category,Income_Category,Customer_Age,Marital_Status,Credit_Limit
21,1,708508758,49,F,Blue,Less than $40K,62,Married,1438.3
23,1,811604133,36,F,Blue,Less than $40K,47,Single,2492.0
24,1,789124683,42,M,Blue,$80K - $120K,54,Married,12217.0
37,1,785432733,36,F,Gold,Less than $40K,42,Married,15433.0
40,1,827111283,41,M,Blue,$80K - $120K,45,Single,32426.0
51,1,779471883,40,F,Blue,Less than $40K,54,Married,1438.3
54,1,714374133,36,M,Blue,$120K +,56,Married,15769.0
61,1,712030833,35,M,Silver,$60K - $80K,48,Married,34516.0
63,1,710082708,32,M,Blue,$120K +,44,Single,23957.0
71,1,720096558,42,F,Blue,Less than $40K,55,Married,2216.0
82,1,711013983,45,F,Blue,$40K - $60K,55,Married,2158.0
87,1,711743883,35,F,Blue,Less than $40K,43,Single,4026.0
90,1,717539808,36,F,Blue,Less than $40K,51,Single,9930.0
92,1,714107958,36,M,Blue,$40K - $60K,45,Single,6576.0
96,1,772629333,35,M,Blue,$40K - $60K,45,Married,3454.0
99,1,711887583,37,M,Blue,$80K - $120K,47,Married,5449.0
105,1,716657058,33,F,Blue,Less than $40K,43,Married,8358.0
118,1,721074183,36,M,Blue,$60K - $80K,49,Married,24159.0
120,1,718414008,36,M,Blue,$120K +,50,Single,34516.0
125,1,711318033,36,M,Blue,$60K - $80K,47,Single,2926.0
127,1,720201033,41,M,Blue,$80K - $120K,53,Married,11669.0
140,1,789322833,38,F,Blue,Less than $40K,48,Married,8025.0
143,1,718744008,36,F,Blue,Less than $40K,59,Single,6335.0
144,1,767712558,53,M,Blue,$60K - $80K,59,Single,14979.0
145,1,712950783,38,F,Blue,Less than $40K,48,Married,2732.0
152,1,712215258,31,F,Silver,$40K - $60K,50,Single,18386.0
155,1,713786508,36,F,Blue,$40K - $60K,42,Married,2038.0
163,1,714791208,41,F,Blue,Less than $40K,47,Divorced,3482.0
172,1,708953883,36,M,Blue,$80K - $120K,53,Married,3212.0
179,1,710829108,36,F,Blue,$40K - $60K,59,Married,3356.0
195,1,720476733,34,F,Blue,Less than $40K,47,Married,6028.0
198,1,708868233,52,M,Blue,Less than $40K,68,Married,1438.3
206,1,719808558,43,F,Blue,Less than $40K,55,Married,1438.3
207,1,711551958,46,M,Blue,$60K - $80K,59,Married,1438.3
215,1,713837058,36,M,Blue,Less than $40K,48,Single,2571.0
226,1,769425858,32,M,Blue,$60K - $80K,45,Single,1438.3
229,1,758348808,44,M,Blue,$120K +,51,Married,34516.0
230,1,772336458,50,F,Blue,$40K - $60K,60,Married,1438.3
236,1,720997383,36,M,Blue,$80K - $120K,52,Married,1857.0
242,1,821797008,45,M,Blue,$40K - $60K,49,Married,1438.3
243,1,708874533,36,F,Blue,Less than $40K,45,Married,3387.0
247,1,712125258,30,M,Blue,$120K +,46,Married,2442.0
253,1,772390908,48,M,Blue,$40K - $60K,59,Single,3616.0
254,1,787348608,56,M,Blue,Less than $40K,70,Married,3252.0
261,1,778867533,40,F,Blue,$40K - $60K,59,Married,1438.3
268,1,771809733,53,F,Blue,$40K - $60K,64,Married,3353.0
276,1,719211558,36,M,Blue,$60K - $80K,45,Single,3401.0
286,1,720272958,36,M,Blue,$120K +,48,Married,27126.0
290,1,715120608,37,M,Blue,$60K - $80K,44,Single,14546.0
299,1,754897008,39,M,Blue,$40K - $60K,46,Single,9432.0
308,1,721425558,37,M,Blue,$120K +,52,Single,14543.0
314,1,708330858,38,M,Blue,$120K +,57,Married,8249.0
321,1,789270033,37,M,Silver,$80K - $120K,48,Single,34516.0
330,1,770590758,29,F,Blue,$40K - $60K,43,Single,3378.0
343,1,714871683,36,M,Blue,$40K - $60K,58,Married,1438.3
345,1,716984658,39,M,Blue,$120K +,49,Married,34516.0
364,1,716568708,36,F,Blue,Less than $40K,47,Married,2726.0
365,1,828281733,39,M,Blue,$120K +,43,Married,14881.0
370,1,719091333,36,M,Blue,$60K - $80K,52,Married,22720.0
379,1,716455683,36,F,Gold,Less than $40K,40,Single,15534.0
401,1,717354558,40,M,Blue,$120K +,57,Married,3106.0
